?uad_sigla;esc_codigo;esc_nome
JT;19727;EMEF - CASSIO DA COSTA VIDIGAL
JT;94285;EMEF - RAUL DE LEONI
JT;94668;EMEFM - DERVILLE ALLEGRETTI, PROF.
JT;94676;EMEF - ADOLPHO OTTO DE LAET, PROF.
JT;94684;EMEF - MARCOS MELEGA
JT;94706;EMEF - GASTAO MOUTINHO, CTE.
JT;94714;EMEF - NOE AZEVEDO, PROF
JT;94722;EMEF - JOAO RAMOS - PERNAMBUCO - ABOLICIONISTA
JT;94731;EMEF - ESMERALDA SALLES PEREIRA RAMOS, PROFA.
JT;94749;EMEF - MARTIN FRANCISCO RIBEIRO DE ANDRADA
JT;94757;EMEF - RONDON, MAL.
JT;94765;EMEF - MAXIMO DE MOURA SANTOS, PROF.
JT;94773;EMEF - OLIVA IRENE BAYERLEIN SILVA
JT;94781;EMEF - RUY BARBOSA
JT;94790;EMEF - HELENA LOMBARDI BRAGA, PROFA.
JT;94803;EMEF - ARY GOMES, CEL.
JT;94811;EMEF - ROMAO GOMES, CEL.
JT;94820;EMEF - JOAO DOMINGUES SAMPAIO
JT;94838;EMEF - PEDRO I, D.
JT;94846;EMEF - TAMANDARE, ALM.
JT;94854;EMEF - ENEAS CARVALHO DE AGUIAR
JT;94862;EMEF - ALBERTO SANTOS DUMONT
JT;94871;EMEF - JULIO MARCONDES SALGADO, GEN.
JT;94889;EMEF - ANTONIO SANT ANA GALVAO, FREI
JT;94897;EMEF - OCTAVIO PEREIRA LOPES
JT;94901;EMEF - EDSON RODRIGUES
JT;94919;EMEF - LOURENCO FILHO
JT;94927;EMEF - MARIA HELENA FARIA LIMA, PROFA.
JT;94935;EMEF - FRANKLIN AUGUSTO DE MOURA CAMPOS, PROF
JT;94943;EMEF - RODRIGUES ALVES
JT;94951;EMEF - SHIRLEY GUIO, PROFA.
JT;99091;EMEF - HIPOLITO JOSE DA COSTA
JT;200069;CIEJA - CENTRO INT ED JOVENS E ADULTOS - VILA MARIA/VILA GUILHERME
JT;200174;CIEJA - CENTRO INT ED JOVENS E ADULTOS - SANTANA/TUCURUVI
MP;108;EMEF - JOSE ERMIRIO DE MORAIS, SEN.
MP;10049;EMEF - CHICO FALCONI, PE.
MP;10405;EMEF - NILDO DO AMARAL JUNIOR, PE.
MP;14583;EMEF - FLAVIO AUGUSTO ROSA, PROF.
MP;15440;EMEF - EUZEBIO ROCHA FILHO
MP;16993;EMEF - VICENTE AMATO SOBRINHO, COM.
MP;18210;EMEFM - DARCY RIBEIRO
MP;19011;EMEF - LINO DE MATTOS, SEN.
MP;19225;EMEF - WANDA OVIDIO GONCALVES, PROFA.
MP;19226;CEU EMEF - MARIA CLARA MACHADO
MP;19241;EMEF - HELLIO TAVARES, DR.
MP;19269;CEU EMEF - PARQUE SAO CARLOS
MP;19278;CEU EMEF - VILA CURUCA
MP;19367;CEU EMEF - TRES PONTES
MP;19400;EMEF - DAMA ENTRE RIOS VERDES
MP;19404;EMEF - NEUZA AVELINO DA SILVA MELO
MP;19409;EMEF - IZABEL APARECIDA CRISTOVAO DA LUZ, PROFA
MP;19410;EMEF - MURURES
MP;19426;EMEF - MARISA MORETTI CAMARA, PROFA.
MP;19433;EMEF - JOSEFA NICACIO ARAUJO, PROFA.
MP;19449;EMEF - JURANDI GOMES DE ARAUJO, PROF.
MP;19503;EMEF - JARDIM BARTIRA
MP;19505;EMEF - JOSE MARIO PIRES AZANHA, PROF.
MP;19506;EMEF - MILTON PEREIRA COSTA
MP;19507;EMEF - PEDRO FUKUYEI YAMAGUCHI FERREIRA
MP;19529;EMEF - JARDIM SILVA TELES
MP;19728;EMEF - JOSE BORGES ANDRADE
MP;19729;EMEF - JOSE BORGES DOS SANTOS JUNIOR, REV.
MP;93688;EMEF - PEDRO ALEIXO, DR.
MP;93696;EMEF - EPITACIO PESSOA, PRES.
MP;93700;EMEF - RAUL PILLA
MP;93726;EMEF - PEDRO TEIXEIRA
MP;93734;EMEF - ANTONIO CARLOS DE ANDRADA E SILVA
MP;93742;EMEF - LUIS SAIA, ARQ.
MP;93751;EMEF - PAULO ROLIM LOUREIRO, D.
MP;93769;EMEF - PEDRO DE FRONTIN, ALM.
MP;93777;EMEF - FERNANDO DE AZEVEDO, PROF.
MP;93793;EMEF - JOSE DE ANCHIETA, PE.
MP;93807;EMEF - JOAO AUGUSTO BREVES, DR.
MP;93823;EMEF - HENRIQUE FELIPE DA COSTA - HENRICAO
MP;93831;EMEF - ANTONIA E ARTUR BEGBIE
MP;93840;EMEF - NEWTON REIS, GEN.
MP;93858;EMEF - MARIA IMILDA DO SANTISSIMO SACRAMENTO, ME.
MP;93866;EMEF - RAIMUNDO CORREIA
MP;93874;EMEF - JOSE AMERICO DE ALMEIDA
MP;93882;EMEF - JOSE BENTO DE ASSIS, PROF.
MP;93891;EMEF - ARMANDO CRIDEY RIGHETTI
MP;93904;EMEF - CAPISTRANO DE ABREU
MP;93912;EMEF - CARLOS PASQUALE, PROF.
MP;93921;EMEF - EZEQUIEL RAMOS JUNIOR
MP;93939;EMEF - SUD MENNUCCI
MP;97713;EMEF - JOSE PEDRO LEITE CORDEIRO, DR.
MP;99139;EMEF - VIRGILIO DE MELLO FRANCO
MP;99651;EMEF - JOSE HONORIO RODRIGUES
PE;329;EMEBS - NEUSA BASSETTO, PROFA.
PE;485;EMEF - ASSAD ABDALA
PE;11851;EMEF - ANALIA FRANCO BASTOS
PE;15121;EMEF - JOSE CARLOS DE FIGUEIREDO FERRAZ, PREF.
PE;15296;EMEF - JOAO FRANZOLIN NETO, PROF.
PE;19365;CEU EMEF - ROSANGELA RODRIGUES VIEIRA, PROFA.
PE;19388;CEU EMEF - ANTONIO CARLOS ROCHA, PROF.
PE;19396;EMEF - SERAFIN MARTINEZ GUTIERREZ, PE.
PE;19399;EMEF - JANUARIO MANTELLI NETO, DEP.
PE;19418;EMEF - ALEX MARTINS COSTA, PROF, MAESTRO
PE;19730;EMEF - LAERTE PANIGHEL, PROF.
PE;19731;EMEF - ADALGISA MOREIRA PIRES, PROFA.
PE;93661;EMEF - OCTAVIO MANGABEIRA
PE;93670;EMEF - AMADEU AMARAL
PE;93947;EMEF - OTHELO FRANCO, GEN.
PE;93955;EMEF - JACKSON DE FIGUEIREDO
PE;93963;EMEF - JOAO PINHEIRO, PRES.
PE;93971;EMEF - 19 DE NOVEMBRO
PE;93980;EMEF - FIRMINO TIBURCIO DA COSTA
PE;93998;EMEF - ABRAO DE MORAES, PROF.
PE;94005;EMEF - HUMBERTO DE CAMPOS
PE;94013;EMEF - JOSE BONIFACIO
PE;94021;EMEF - CAIRU, VISC. DE
PE;94030;EMEF - ARTHUR ALVIM
PE;94048;EMEF - ANTONIO VIEIRA, PE.
PE;94056;EMEF - JENNY GOMES, DA.
PE;94072;EMEF - WANNY SALGADO ROCHA, PROFA
PE;94081;EMEF - HENRIQUE PEGADO, PROF.
PE;94099;EMEF - JUAREZ TAVORA, MAL.
PE;94102;EMEF - FRANCISCO DE MONT` ALVERNE, FREI
PE;94111;EMEF - LUIS WASHINGTON VITA
PE;94129;EMEF - GUILHERME DE ALMEIDA
PE;94137;EMEF - CECILIA MEIRELES
PE;94145;EMEF - EDGARD CAVALHEIRO
PE;94153;EMEF - ARTHUR AZEVEDO
PE;94641;EMEF - HENRIQUE, INFANTE D.
PE;95079;EMEF - FABIO DA SILVA PRADO, DR.
PE;95087;EMEF - SILVIO FLEMING, MJ.
PE;95095;EMEF - EMILIANO DI CAVALCANTI
PE;95109;EMEF - LEONOR MENDES DE BARROS
PE;95362;EMEF - MAUA, BR. DE
PE;200042;CIEJA - CENTRO INT ED JOVENS E ADULTOS - ERMELINO MATARAZZO
PJ;205;EMEBS - VERA LUCIA APARECIDA RIBEIRO, PROFA.
PJ;540;EMEF - RAUL POMPEIA
PJ;9326;EMEF - IRENE GARCIA COSTA DE SOUZA, PROFA. DRA.
PJ;10171;EMEF - ALDO RIBEIRO LUZ, PROF.
PJ;14249;EMEF - ERNESTO DE MORAES LEME, PROF.
PJ;15431;EMEF - ERNANI SILVA BRUNO
PJ;16497;EMEF - FERNANDO GRACIOSO
PJ;17272;EMEFM - GUIOMAR CABRAL
PJ;19020;EMEF - JAIRO DE ALMEIDA, PROF.
PJ;19195;EMEF - JOSE KAUFFMANN , DR.
PJ;19215;EMEF - REMO RINALDI NADDEO, PROF.
PJ;19217;EMEF - RECANTO DOS HUMILDES
PJ;19218;EMEF - JARDIM MONTE BELO
PJ;19219;EMEF - ENZO ANTONIO SILVESTRIN, PROF
PJ;19220;EMEF - MARIO LAGO
PJ;19224;EMEF - MILENA BENEDICTO, PROFA
PJ;19229;EMEF - JOSUE DE CASTRO, PROF
PJ;19233;EMEF - EDGARD CARONE
PJ;19271;CEU EMEF - PERA MARMELO
PJ;19272;CEU EMEF - PERUS
PJ;19277;CEU EMEF - VILA ATLANTICA
PJ;19314;EMEF - PHILO GONCALVES DOS SANTOS, PROFA
PJ;19322;EMEF - CITY JARAGUA IV
